k_features,var_smoothing,threshold,Accuracy,Precision,Recall,F1-score,AUC,Score
8,1e-05,0.6500000000000001,0.7353420195439739,0.8283062645011601,0.587171052631579,0.687199230028874,0.8267508488964347,0.7288144090550229
8,1e-05,0.6600000000000001,0.7345276872964169,0.8333333333333334,0.5797697368421053,0.6838021338506305,0.8267508488964347,0.7276160517342087
8,1e-05,0.6700000000000002,0.7320846905537459,0.8369565217391305,0.5699013157894737,0.6780821917808219,0.8267508488964347,0.7246975417172199
8,1e-05,0.6800000000000002,0.7284201954397395,0.8409937888198757,0.5567434210526315,0.6699653636813458,0.8267508488964347,0.7204027553637717
8,1e-05,0.6900000000000002,0.7219055374592834,0.846553966189857,0.5353618421052632,0.655919395465995,0.8267508488964347,0.7128416645476882
8,1e-05,0.7000000000000002,0.7162052117263844,0.8455392809587217,0.522203947368421,0.6456532791052364,0.8267508488964347,0.7063884164808754
8,0.0001,0.45,0.7528501628664495,0.7426294820717132,0.7664473684210527,0.754350465398624,0.8267535016977928,0.7606110170568707
8,0.0001,0.46,0.7536644951140065,0.7465698143664246,0.7606907894736842,0.7535641547861508,0.8267535016977928,0.7605833186948565
8,0.0001,0.47000000000000003,0.7536644951140065,0.751440329218107,0.7508223684210527,0.751131221719457,0.8267535016977928,0.7594689252406248
8,0.0001,0.48000000000000004,0.754885993485342,0.7571189279731994,0.743421052631579,0.7502074688796682,0.8267535016977928,0.7596299589246756
8,0.0001,0.49000000000000005,0.7536644951140065,0.7608881298035867,0.7327302631578947,0.7465437788018434,0.8267535016977928,0.7574978088388435
8,0.0001,0.5,0.755700325732899,0.768760907504363,0.7245065789473685,0.7459779847586792,0.8267535016977928,0.7583081124222966
8,0.0001,0.51,0.753257328990228,0.7708703374777975,0.7138157894736842,0.7412467976088813,0.8267535016977928,0.75521068418568
8,0.0001,0.52,0.7520358306188925,0.7741644083107497,0.7047697368421053,0.7378390012914334,0.8267535016977928,0.753294191866771
8,0.0001,0.53,0.7528501628664495,0.7785910338517841,0.6998355263157895,0.7371156344737982,0.8267535016977928,0.7535028433658888
8,0.0001,0.54,0.7520358306188925,0.7818012999071495,0.6924342105263158,0.7344090710859137,0.8267535016977928,0.7521137586873028
8,0.0001,0.55,0.750814332247557,0.7843691148775894,0.6850328947368421,0.7313432835820896,0.8267535016977928,0.750384227925613
8,0.0001,0.56,0.75,0.7905405405405406,0.6735197368421053,0.7273534635879219,0.8267535016977928,0.7486497847011837
8,0.0001,0.5700000000000001,0.7520358306188925,0.8001978239366964,0.665296052631579,0.7265379434216435,0.8267535016977928,0.7497545578929339
8,0.0001,0.5800000000000001,0.7512214983713354,0.8071065989847716,0.6537828947368421,0.7223989095865516,0.8267535016977928,0.7481302810852983
8,0.0001,0.5900000000000001,0.747557003257329,0.8084886128364389,0.6422697368421053,0.7158570119156737,0.8267535016977928,0.7439448872195
8,0.0001,0.6000000000000001,0.7471498371335505,0.8128286014721346,0.6356907894736842,0.7134287032764189,0.8267535016977928,0.7430968158444287
8,0.0001,0.6100000000000001,0.7438925081433225,0.8152524167561761,0.6241776315789473,0.7070330693991617,0.8267535016977928,0.7392784980506437
8,0.0001,0.6200000000000001,0.7381921824104235,0.8165745856353591,0.6077302631578947,0.6968411126826969,0.8267535016977928,0.7328177396643365
8,0.0001,0.6300000000000001,0.7381921824104235,0.8215488215488216,0.6019736842105263,0.6948267679164689,0.8267535016977928,0.7324455138133668
8,0.0001,0.6400000000000001,0.7373778501628665,0.8248009101251422,0.5962171052631579,0.6921241050119331,0.8267535016977928,0.7313124792861248
8,0.0001,0.6500000000000001,0.7353420195439739,0.8283062645011601,0.587171052631579,0.687199230028874,0.8267535016977928,0.7288146743351587
8,0.0001,0.6600000000000001,0.7345276872964169,0.8333333333333334,0.5797697368421053,0.6838021338506305,0.8267535016977928,0.7276163170143446
8,0.0001,0.6700000000000002,0.7320846905537459,0.8369565217391305,0.5699013157894737,0.6780821917808219,0.8267535016977928,0.7246978069973558
8,0.0001,0.6800000000000002,0.7284201954397395,0.8409937888198757,0.5567434210526315,0.6699653636813458,0.8267535016977928,0.7204030206439076
8,0.0001,0.6900000000000002,0.7219055374592834,0.846553966189857,0.5353618421052632,0.655919395465995,0.8267535016977928,0.7128419298278239
8,0.0001,0.7000000000000002,0.7162052117263844,0.8455392809587217,0.522203947368421,0.6456532791052364,0.8267535016977928,0.7063886817610112
8,0.001,0.45,0.7528501628664495,0.7426294820717132,0.7664473684210527,0.754350465398624,0.8267574808998301,0.7606114149770744
8,0.001,0.46,0.7536644951140065,0.7465698143664246,0.7606907894736842,0.7535641547861508,0.8267574808998301,0.7605837166150602
8,0.001,0.47000000000000003,0.7536644951140065,0.751440329218107,0.7508223684210527,0.751131221719457,0.8267574808998301,0.7594693231608286
8,0.001,0.48000000000000004,0.754885993485342,0.7571189279731994,0.743421052631579,0.7502074688796682,0.8267574808998301,0.7596303568448793
8,0.001,0.49000000000000005,0.7536644951140065,0.7608881298035867,0.7327302631578947,0.7465437788018434,0.8267574808998301,0.7574982067590473
8,0.001,0.5,0.755700325732899,0.768760907504363,0.7245065789473685,0.7459779847586792,0.8267574808998301,0.7583085103425004
8,0.001,0.51,0.753257328990228,0.7708703374777975,0.7138157894736842,0.7412467976088813,0.8267574808998301,0.7552110821058838
8,0.001,0.52,0.7520358306188925,0.7741644083107497,0.7047697368421053,0.7378390012914334,0.8267574808998301,0.7532945897869748
8,0.001,0.53,0.7528501628664495,0.7785910338517841,0.6998355263157895,0.7371156344737982,0.8267574808998301,0.7535032412860926
8,0.001,0.54,0.7520358306188925,0.7818012999071495,0.6924342105263158,0.7344090710859137,0.8267574808998301,0.7521141566075065
8,0.001,0.55,0.7504071661237784,0.7841658812441094,0.6842105263157895,0.7307861220904699,0.8267574808998301,0.7499591836459243
8,0.001,0.56,0.75,0.7905405405405406,0.6735197368421053,0.7273534635879219,0.8267574808998301,0.7486501826213874
8,0.001,0.5700000000000001,0.7520358306188925,0.8001978239366964,0.665296052631579,0.7265379434216435,0.8267574808998301,0.7497549558131377
8,0.001,0.5800000000000001,0.7512214983713354,0.8071065989847716,0.6537828947368421,0.7223989095865516,0.8267574808998301,0.7481306790055021
8,0.001,0.5900000000000001,0.747557003257329,0.8084886128364389,0.6422697368421053,0.7158570119156737,0.8267574808998301,0.7439452851397037
8,0.001,0.6000000000000001,0.7471498371335505,0.8128286014721346,0.6356907894736842,0.7134287032764189,0.8267574808998301,0.7430972137646324
8,0.001,0.6100000000000001,0.7438925081433225,0.8152524167561761,0.6241776315789473,0.7070330693991617,0.8267574808998301,0.7392788959708475
8,0.001,0.6200000000000001,0.737785016286645,0.8163716814159292,0.6069078947368421,0.6962264150943397,0.8267574808998301,0.7323783772432736
8,0.001,0.6300000000000001,0.7381921824104235,0.8215488215488216,0.6019736842105263,0.6948267679164689,0.8267574808998301,0.7324459117335705
8,0.001,0.6400000000000001,0.7373778501628665,0.8248009101251422,0.5962171052631579,0.6921241050119331,0.8267574808998301,0.7313128772063284
8,0.001,0.6500000000000001,0.7353420195439739,0.8283062645011601,0.587171052631579,0.687199230028874,0.8267574808998301,0.7288150722553625
8,0.001,0.6600000000000001,0.7341205211726385,0.8331360946745562,0.5789473684210527,0.6831635128578359,0.8267574808998301,0.7271721068543028
8,0.001,0.6700000000000002,0.7320846905537459,0.8369565217391305,0.5699013157894737,0.6780821917808219,0.8267574808998301,0.7246982049175594
8,0.001,0.6800000000000002,0.7284201954397395,0.8409937888198757,0.5567434210526315,0.6699653636813458,0.8267574808998301,0.7204034185641113
8,0.001,0.6900000000000002,0.7214983713355049,0.8463541666666666,0.5345394736842105,0.655241935483871,0.8267574808998301,0.7123874977475672
8,0.001,0.7000000000000002,0.7157980456026058,0.8453333333333334,0.5213815789473685,0.6449643947100713,0.8267574808998301,0.7059301639570545
9,1e-06,0.45,0.7552931596091205,0.744241461477363,0.7705592105263158,0.7571717171717172,0.827247585950764,0.7630378096451619
9,1e-06,0.46,0.7528501628664495,0.7441860465116279,0.7631578947368421,0.7535525781567195,0.827247585950764,0.7602788455070429
